Data	MACK	MACK10	MACK5	SIDC
2007-01-01	26	33	26	38
2007-01-02	47	45	46	42
2007-01-04	45	44	44	44
2007-01-05	38	45	45	44
2007-01-06	56	0	44	49
2007-01-07	34	22	34	47
2007-01-08	89	77	77	42
2007-01-09	70	57	58	52
2007-01-10	35	34	34	47
2007-01-11	44	33	33	42
2007-01-12	22	22	22	40
2007-01-13	24	23	23	28
2007-01-14	14	12	12	30
2007-01-15	15	12	12	19
2007-01-16	16	13	14	19
2007-01-17	0	0	0	16
2007-01-18	23	0	0	17
2007-01-19	23	0	0	24
2007-01-20	12	0	11	19
2007-01-22	16	12	13	21
2007-01-23	24	13	13	17
2007-01-24	23	12	23	19
2007-01-25	11	11	11	14
2007-01-26	0	0	0	12
2007-01-27	11	11	11	12
2007-02-03	29	24	25	41
2007-02-03	16	0	22	36
2007-02-04	35	23	24	29
2007-02-05	23	22	22	27
2007-02-06	23	22	22	26
2007-02-07	11	11	11	26
2007-02-08	22	11	11	14
2007-02-10	22	11	11	12
2007-02-11	0	0	0	12
2007-02-11	0	0	0	0
2007-02-12	0	0	0	0
2007-02-13	0	0	0	0
2007-02-15	12	0	0	0
2007-02-17	22	11	22	14
2007-02-19	24	11	23	14
2007-02-20	25	23	23	34
2007-02-22	11	11	11	17
2007-02-24	11	11	11	26
2007-02-26	22	11	22	14
2007-02-26	22	22	22	26
2007-03-01	23	11	11	14
2007-03-02	22	11	11	11
2007-03-05	22	0	0	13
2007-03-05	34	0	12	27
2007-03-07	11	0	0	0
2007-03-08	0	0	0	0
2007-03-09	0	0	0	0
2007-03-11	0	0	0	14
2007-03-13	0	0	0	0
2007-03-14	0	0	0	0
2007-03-15	0	0	0	0
2007-03-16	0	0	0	0
2007-03-17	0	0	0	0
2007-03-18	0	0	0	0
2007-03-20	0	0	0	0
2007-03-20	0	0	0	0
2007-03-21	0	0	0	0
2007-03-22	0	0	0	0
2007-03-23	0	0	0	13
2007-03-24	11	11	11	13
2007-03-25	0	0	0	0
2007-03-26	12	0	0	14
2007-03-27	0	0	0	13
2007-03-28	0	0	0	13
2007-03-29	0	0	0	13
2007-03-30	11	0	0	11
