Data	MACK5	SIDC
2001-01-01	76	133
2001-01-02	116	140
2001-01-03	69	131
2001-01-04	99	146
2001-01-05	123	164
2001-01-06	131	194
2001-01-07	131	195
2001-01-08	140	157
2001-01-10	91	151
2001-01-11	99	172
2001-01-12	101	175
2001-01-13	78	166
2001-01-14	87	149
2001-01-17	62	88
2001-01-18	51	90
2001-01-19	83	109
2001-01-20	64	91
2001-01-21	86	121
2001-01-22	102	139
2001-01-23	98	167
2001-01-24	124	176
2001-01-25	105	158
2001-01-26	68	125
2001-01-27	102	145
2001-01-28	103	152
2001-01-29	56	134
2001-01-30	93	104
2001-01-31	77	128
2001-02-01	76	118
2001-02-02	92	118
2001-02-03	112	139
2001-02-04	79	137
2001-02-05	109	158
2001-02-06	101	166
2001-02-07	97	167
2001-02-08	121	167
2001-02-09	128	172
2001-02-10	124	158
2001-02-11	112	151
2001-02-12	92	107
2001-02-13	83	107
2001-02-14	94	103
2001-02-15	92	113
2001-02-16	70	110
2001-02-17	47	107
2001-02-18	72	115
2001-02-19	84	113
2001-02-20	76	115
2001-02-21	91	142
2001-02-22	75	122
2001-02-24	73	84
2001-02-25	62	84
2001-02-26	56	87
2001-02-27	54	75
2001-02-28	62	77
2001-03-01	36	76
2001-03-02	49	77
2001-03-03	75	110
2001-03-04	94	134
2001-03-05	90	152
2001-03-06	101	133
2001-03-07	136	124
2001-03-08	43	92
2001-03-09	73	115
2001-03-11	68	132
2001-03-12	74	139
2001-03-13	69	108
2001-03-14	57	117
2001-03-15	53	110
2001-03-16	71	102
2001-03-17	54	75
2001-03-18	45	89
2001-03-19	62	96
2001-03-20	73	117
2001-03-21	83	129
2001-03-22	74	124
2001-03-23	108	165
2001-03-24	125	218
2001-03-25	171	272
2001-03-26	164	319
2001-03-27	199	352
2001-03-28	163	343
2001-03-29	188	340
2001-03-30	155	338
2001-03-31	133	300
2001-04-01	140	279
2001-04-02	149	249
2001-04-03	139	254
2001-04-04	144	201
2001-04-05	134	200
2001-04-06	95	165
